CityName, Population, Latitude, Longitude
Division No.  1, Subd. V,55,46.677463,-53.239674
Portugal Cove South,86,46.709732,-53.256992
Trepassey,405,46.719775,-53.333799
St. Shott's,55,46.633413,-53.586069
Division No.  1, Subd. U,1373,47.122281,-52.94547
Cape Broyle,499,47.10298,-52.953182
Renews-Cappahayden,280,46.894944,-52.998719
Fermeuse,266,46.967304,-52.972071
Port Kirwan,49,46.976082,-52.924059
Aquaforte,74,47.009921,-52.940497
Ferryland,371,47.022802,-52.895167
Division No.  1, Subd. W,469,46.867573,-53.62484
St. Vincent's-St. Stephen's-Peter's River,263,46.784734,-53.561565
Gaskiers-Point La Haye,189,46.875023,-53.612502
St. Mary's,313,46.911302,-53.523771
Riverhead,165,46.995445,-53.504513
Admirals Beach,97,47.016644,-53.599892
St. Joseph's,86,47.090945,-53.512361
Mount Carmel-Mitchells Brook-St. Catherine's,382,47.214749,-53.409494
Division No.  1, Subd. X,541,47.287914,-53.626983
Colinet,103,47.212272,-53.541621
Division No.  1, Subd. C,106,46.976652,-53.934097
Branch,177,46.881072,-53.952761
Point Lance,87,46.81306,-54.109182
St. Bride's,318,46.927675,-54.174633
Division No.  1, Subd. B,356,47.293223,-53.949565
Placentia,3289,47.280288,-53.977332
Fox Harbour,226,47.325654,-53.87178
Division No.  1, Subd. A,653,47.537096,-53.890622
Long Harbour-Mount Arlington Heights,185,47.451648,-53.745544
Southern Harbour,313,47.721214,-53.951265
Arnold's Cove,964,47.767804,-53.986692
Come By Chance,208,47.845718,-53.984399
Sunnyside,407,47.860623,-53.922805
Chance Cove,213,47.674643,-53.840252
Norman's Cove-Long Cove,647,47.549673,-53.679786
Chapel Arm,446,47.496306,-53.672023
Division No.  1, Subd. Y,1211,47.50175,-53.555738
Whitbourne,955,47.418817,-53.531151
Division No.  1, Subd. E,2835,47.617587,-53.550536
Whiteway,351,47.68442,-53.460252
Heart's Delight-Islington,646,47.754684,-53.489371
Heart's Desire,184,47.813504,-53.438653
Division No.  1, Subd. F,539,47.930022,-53.352416
Heart's Content,330,47.859654,-53.377587
New Perlican,200,47.906207,-53.342782
Winterton,436,47.954191,-53.307944
Hant's Harbour,318,47.982765,-53.273298
Division No.  1, Subd. G,1673,47.995333,-52.983979
Old Perlican,608,48.090017,-53.003942
Bay de Verde,347,48.102051,-52.880827
Small Point-Adam's Cove-Blackhead-Broad Cove,414,47.846793,-53.093819
Division No.  1, Subd. H,328,47.780568,-53.146996
Salmon Cove,764,47.780269,-53.172752
Victoria,1658,47.769615,-53.239389
Carbonear,4696,47.730909,-53.225911
Division No.  1, Subd. I,320,47.705728,-53.146367
Bryant's Cove,343,47.677925,-53.189348
Harbour Grace,2796,47.682501,-53.244893
Upper Island Cove,1401,47.651774,-53.201003
Division No.  1, Subd. J,0,47.642949,-53.261877
Bishop's Cove,252,47.635661,-53.2338
Spaniard's Bay,2630,47.614218,-53.324087
Division No.  1, Subd. K,35,47.522772,-53.394464
Bay Roberts,5974,47.606203,-53.219159
Division No.  1, Subd. L,874,47.599088,-53.183748
Division No.  1, Subd. M,1145,47.460809,-53.357862
North River,579,47.541307,-53.314759
Clarke's Beach,1400,47.535509,-53.283868
South River,674,47.536638,-53.270168
Cupids,699,47.562634,-53.190321
Division No.  1, Subd. N,356,47.506936,-53.210918
Brigus,699,47.549218,-53.194962
Division No.  1, Subd. O,829,47.353038,-53.295168
Colliers,613,47.446083,-53.251085
Conception Harbour,624,47.439194,-53.221497
Avondale,584,47.390901,-53.221776
Harbour Main-Chapel's Cove-Lakeview,1065,47.402191,-53.184753
Holyrood,2471,47.345735,-53.161138
Conception Bay South,27168,47.491656,-52.99188
Division No.  1, Subd. R,264,47.601214,-53.008122
Wabana,1815,47.642907,-52.943309
Portugal Cove-St. Philip's,8415,47.624733,-52.835563
Pouch Cove,2063,47.759476,-52.768493
Flatrock,1722,47.704342,-52.729707
Torbay,7852,47.659243,-52.754959
Logy Bay-Middle Cove-Outer Cove,2364,47.635786,-52.684391
Bauline,412,47.692811,-52.825646
Paradise,22957,47.533451,-52.88276
St. John's,110525,47.40035,-52.73906
Mount Pearl,22477,47.519174,-52.813222
Petty Harbour-Maddox Cove,947,47.477038,-52.711402
Bay Bulls,1566,47.319094,-52.791599
Witless Bay,1640,47.28301,-52.807232
Division No.  1, Subd. D,119,47.341854,-52.925178
Division No.  2, Subd. E,251,47.041472,-55.120407
Lewin's Cove,546,47.078687,-55.218765
Burin,2237,47.076088,-55.17647
Division No.  2, Subd. F,99,46.87299,-55.383649
St. Lawrence,1115,46.903781,-55.408128
Division No.  2, Subd. G,25,46.848169,-55.820266
Lawn,583,46.946174,-55.538733
Lamaline,218,46.920501,-55.733223
Lord's Cove,155,46.902768,-55.67207
Point May,254,46.934725,-55.921346
Point au Gaul,67,46.867407,-55.748152
Division No.  2, Subd. H,196,47.107294,-55.642726
Frenchman's Cove,159,47.175695,-55.45643
Fortune,1285,47.034116,-55.858213
Grand Bank,2152,47.091855,-55.750044
Garnish,542,47.230495,-55.314022
Division No.  2, Subd. D,204,47.187749,-55.033705
Winterland,398,47.159887,-55.288169
Marystown,5204,47.157814,-55.158686
Fox Cove-Mortier,252,47.104418,-55.108601
Division No.  2, Subd. I,123,47.432214,-55.112845
Bay L'Argent,234,47.546281,-54.890149
Division No.  2, Subd. J,0,47.646893,-54.958433
Grand Le Pierre,176,47.794963,-54.875577
Division No.  2, Subd. C,538,47.389158,-54.583617
Rushoon,229,47.352164,-54.91896
Parkers Cove,233,47.398924,-54.860482
Terrenceville,446,47.662964,-54.723225
Red Harbour,177,47.28304,-55.004938
English Harbour East,117,47.634786,-54.890847
Baine Harbour,126,47.368432,-54.902222
St. Bernard's-Jacques Fontaine,433,47.527414,-54.898994
Division No.  2, Subd. L,32,47.492459,-54.229581
Division No.  2, Subd. K,502,47.892922,-54.216771
Little Bay East,84,47.556942,-54.863923
Division No.  3, Subd. A,45,47.696798,-55.250313
Rencontre East,115,47.643215,-55.219879
St. Jacques-Coomb's Cove,546,47.4583,-55.558417
Belleoram,348,47.524842,-55.416191
Pool's Cove,143,47.682681,-55.436943
Division No.  3, Subd. B,0,47.471107,-55.863721
Harbour Breton,1477,47.477237,-55.82644
Division No.  3, Subd. C,146,47.646542,-55.996196
Seal Cove (Fortune Bay),100,47.483186,-56.077941
Hermitage-Sandyville,404,47.546753,-55.929866
Gaultois,100,47.616332,-55.921627
Division No.  3, Subd. D,188,47.970212,-56.090925
Milltown-Head of Bay d'Espoir,669,47.942964,-55.745147
St. Alban's,1189,47.878888,-55.849197
Morrisville,93,47.871818,-55.763255
Division No.  3, Subd. E,74,47.852301,-56.625467
Division No.  3, Subd. F,115,47.708495,-57.420992
Ramea,388,47.520306,-57.392435
Burgeo,1176,47.615059,-57.628602
Division No.  3, Subd. H,562,47.606383,-58.99168
Isle aux Morts,559,47.600517,-58.962618
Burnt Islands,540,47.61753,-58.871582
Channel-Port aux Basques,3547,47.592728,-59.137486
Division No.  3, Subd. I,61,47.857865,-58.190553
Division No.  3, Subd. J,38,47.728501,-58.578159
Rose Blanche-Harbour le Cou,344,47.626326,-58.687779
Samiajij Miawpukek,953,47.870107,-55.733331
Division No.  4, Subd. A,1530,47.908661,-59.032236
Division No.  4, Subd. B,1140,48.197341,-58.790564
Division No.  4, Subd. C,591,48.489801,-58.245121
St. George's,1139,48.426777,-58.490365
Division No.  4, Subd. D,1212,48.728789,-58.441502
Gallants,50,48.702905,-58.235738
Stephenville Crossing,1634,48.526981,-58.44537
Stephenville,6540,48.551342,-58.556876
Kippens,1842,48.552337,-58.62889
Port au Port East,413,48.591176,-58.67353
Division No.  4, Subd. E,1467,48.590941,-58.900504
Cape St. George,809,48.487141,-59.177943
Lourdes,502,48.654514,-58.981623
Port au Port West-Aguathuna-Felix Cove,384,48.557647,-58.768358
Division No.  5, Subd. A,291,49.000713,-56.815782
Division No.  5, Subd. G,414,49.744226,-56.946386
Deer Lake,4864,49.209244,-57.394679
Jackson's Arm,277,49.868904,-56.791597
Howley,179,49.163292,-57.11314
Division No.  5, Subd. E,188,49.378256,-57.083715
Hampden,439,49.538381,-56.884338
Reidville,550,49.246095,-57.404114
Division No.  5, Subd. F,746,48.960737,-57.609282
Steady Brook,416,48.952411,-57.824308
Pasadena,3524,49.014937,-57.580164
Cormack,492,49.311692,-57.391974
Gillams,506,49.019173,-58.074396
Division No.  5, Subd. C,285,48.744808,-58.012868
Massey Drive,1606,48.938752,-57.89278
Corner Brook,19333,48.927946,-57.987295
Division No.  5, Subd. D,30,48.963806,-58.284926
Humber Arm South,1537,49.007865,-58.165331
McIvers,575,49.045207,-58.107821
Cox's Cove,664,49.115837,-58.089492
Lark Harbour,508,49.111868,-58.392937
Meadows,404,48.994241,-58.047367
Hughes Brook,236,48.999465,-57.882111
Irishtown-Summerside,1260,48.982806,-57.940004
Mount Moriah,700,48.952183,-58.064754
York Harbour,372,49.058095,-58.37444
Division No.  6, Subd. D,596,48.483813,-55.463664
Norris Arm,708,49.083022,-55.225945
Division No.  6, Subd. E,175,48.722863,-54.903166
Gander,11880,48.964402,-54.595738
Appleton,620,48.98451,-54.856797
Glenwood,739,48.995086,-54.884056
Division No.  6, Subd. C,354,49.107651,-56.076022
Northern Arm,371,49.169403,-55.390125
Grand Falls-Windsor,13853,48.975836,-55.693431
Bishop's Falls,3082,49.019882,-55.482512
Peterview,723,49.113263,-55.341737
Botwood,2778,49.133599,-55.364605
Badger,682,48.978288,-56.041038
Millertown,87,48.815806,-56.536616
Division No.  6, Subd. A,101,48.594464,-56.999279
Buchans,590,48.821327,-56.851329
Division No.  7, Subd. M,1856,48.001309,-53.753932
Division No.  7, Subd. L,1183,48.239157,-53.45009
Division No.  7, Subd. K,1153,48.286637,-53.639239
Clarenville,6704,48.204412,-54.10808
Division No.  7, Subd. J,577,48.372955,-53.263775
Trinity (Trinity Bay),76,48.382037,-53.394151
Port Rexton,361,48.406452,-53.337129
Division No.  7, Subd. I,80,48.407736,-53.133192
Elliston,315,48.623421,-53.042611
Trinity Bay North,1649,48.528643,-53.072038
